Number,E-Word,EP-Word,Val-M,Val-SD,Arou-M,Arou-SD,Dom-M,Dom-SD,Freq,Nlett,Nsyll ,GClass,Neigh
241,joyful,alegre,8.17,1.23,5.23,2.79,6.17,2.32,20.05,6,3,ADJ,0
242,justice,justiça,7.28,1.64,5.21,2.64,5.64,2.02,109.56,7,3,N,1
243,kerosene,petróleo,4.17,1.34,4.88,1.80,4.62,2.22,34.48,8,3,N,0
244,killer,assassino,2.03,1.21,6.29,2.60,4.96,2.63,16.16,9,4,ADJ/N,0
245,kind,amável,7.91,0.92,3.62,2.40,6.71,1.36,10.73,6,3,ADJ,2
246,kindness,amabilidade,7.62,1.32,4.09,2.75,5.87,2.05,3.89,11,6,N,1
247,king,rei,5.56,1.32,3.78,2.15,4.93,1.80,122.95,3,1,N,4
248,kiss,beijo,8.24,1.09,5.67,3.10,6.42,2.48,25.85,5,2,N,1
249,knowledge,conhecimento,7.78,1.28,5.56,2.41,6.24,1.95,157.12,12,5,N,1
250,lake,lago,6.78,1.70,2.88,2.27,6.00,2.27,31.40,4,2,N,10
251,laughter,riso,8.18,1.11,6.53,2.60,6.97,1.59,35.78,4,2,N,12
252,learn,aprender,7.74,1.21,5.45,2.86,6.00,2.55,101.97,8,3,V,2
253,leisurely,calmo,6.74,1.40,1.79,1.66,4.41,2.62,24.43,5,2,ADJ,8
254,leprosy,lepra,2.08,1.44,6.20,2.44,2.87,1.59,3.45,5,2,N,2
255,liberty,independência,7.12,1.36,5.46,2.35,6.76,1.77,42.20,13,5,N,0
256,lice,piolhos,2.42,1.71,6.42,2.33,4.24,2.40,UnAv,7,3,N,UnAv
257,lie,mentira,2.38,1.83,6.18,2.75,4.09,2.48,19.80,7,3,N,1
258,life,vida,8.26,1.20,5.75,3.23,6.50,2.65,832.30,4,2,N,11
259,listless,indolente,3.41,1.84,4.08,2.66,4.60,1.51,1.97,9,4,ADJ,1
260,loneliness,solidão,1.91,1.60,4.85,2.89,3.80,2.25,36.52,7,3,N,0
261,lonely,solitário,2.52,1.52,4.32,2.17,4.37,2.33,19.12,9,4,ADJ/N,1
262,louse,piolho,2.89,1.79,5.33,1.62,4.74,2.26,2.47,6,3,N,0
263,love,amor,8.16,1.33,5.31,3.39,4.54,2.50,200.30,4,2,N,5
264,loved,amado,8.00,1.45,4.70,3.45,6.35,2.50,4.13,5,3,ADJ/N,UnAv
265,loyal,leal,7.82,1.26,4.29,2.35,5.92,2.26,19.49,4,2,ADJ,3
266,lucky,sortudo,7.52,1.12,5.87,1.94,5.33,2.00,UnAv,7,3,ADJ/N,UnAv
267,luscious,delicioso,7.80,1.27,4.84,2.78,5.15,2.33,12.21,9,5,ADJ,0
268,luxury,luxo,5.94,2.03,5.23,2.22,6.07,2.11,40.41,4,2,N,6
269,maggot,larva,3.60,1.61,5.03,2.32,5.25,2.24,10.36,5,2,N,1
270,malice,malícia,2.95,1.83,6.18,2.22,4.50,1.85,3.76,7,3,N,0
271,masterful,magistral,5.28,2.21,4.50,2.48,4.65,2.61,2.04,9,3,ADJ,0
272,measles,sarampo,2.94,1.32,4.88,2.20,3.83,1.58,2.22,7,3,N,0
273,meek,manso,5.64,1.55,3.42,2.19,5.17,2.36,14.07,5,2,ADJ,6
274,memory,memória,6.30,1.41,4.29,1.96,5.65,2.25,105.06,7,3,N,1
275,menace,ameaça,2.20,1.13,7.00,2.13,3.00,2.00,70.82,6,4,N,1
276,mighty,potente,6.62,1.23,5.72,2.29,6.29,2.17,8.64,7,3,ADJ,1
277,mildew,bolor,3.11,1.64,4.65,2.07,5.40,1.96,3.08,5,2,N,2
278,millionaire,milionário,7.21,1.52,4.75,2.57,4.95,1.94,8.64,10,5,ADJ/N,0
279,miracle,milagre,6.60,2.00,4.61,2.10,4.40,2.30,33.25,7,3,N,0
280,modest,modesto,6.40,1.45,3.45,1.99,5.33,2.14,24.74,7,3,ADJ,2
281,moment,momento,6.79,1.56,3.46,2.13,5.65,1.90,358.84,7,3,N,1
282,money,dinheiro,6.95,1.63,4.77,2.35,5.35,2.20,227.94,8,3,N,1
283,month,mês,5.13,0.57,4.04,2.32,4.63,2.18,422.75,3,1,N,2
284,morbid,mórbido,2.88,1.73,5.22,2.41,3.56,1.99,3.08,7,3,ADJ,0
285,morgue,morgue,2.44,2.15,5.52,2.87,3.35,2.21,1.42,6,2,N,0
286,mother,mãe,8.23,1.42,3.71,2.40,5.94,2.27,270.75,3,1,N,2
287,mountain,montanha,6.47,1.35,4.04,2.46,4.60,2.47,63.60,8,3,N,0
288,movie,filme,7.27,1.23,4.64,2.32,6.39,2.15,171.12,5,2,N,1
